2025-08-25 15:01:00,714 | ROOT-GOD | INFO | _init_root_database:152 | 📊 Root command database initialized
2025-08-25 15:02:35,001 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 255 > /sys/class/leds/aw210xx_led:glyph_zone_... Error: /system/bin/sh: can't create /sys/class/leds/aw210xx_led:glyph_zone_2/brightness: Permission denied
2025-08-25 15:02:35,051 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo breathing > /sys/class/leds/aw210xx_led:glyph... Error: /system/bin/sh: can't create /sys/class/leds/aw210xx_led:glyph_zone_2/trigger: Permission denied
2025-08-25 15:02:35,098 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 255 > /sys/class/leds/aw210xx_led:glyph_zone_... Error: /system/bin/sh: can't create /sys/class/leds/aw210xx_led:glyph_zone_3/brightness: Permission denied
2025-08-25 15:02:35,153 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo breathing > /sys/class/leds/aw210xx_led:glyph... Error: /system/bin/sh: can't create /sys/class/leds/aw210xx_led:glyph_zone_3/trigger: Permission denied
2025-08-25 15:02:35,205 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 255 > /sys/class/leds/aw210xx_led:glyph_camer... Error: /system/bin/sh: can't create /sys/class/leds/aw210xx_led:glyph_camera/brightness: Permission denied
2025-08-25 15:02:35,264 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo breathing > /sys/class/leds/aw210xx_led:glyph... Error: /system/bin/sh: can't create /sys/class/leds/aw210xx_led:glyph_camera/trigger: Permission denied
2025-08-25 15:02:35,264 | ROOT-GOD | INFO | optimize_cpu_performance:504 | ⚡ Optimizing CPU for gaming mode
2025-08-25 15:02:35,325 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu0/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:35,370 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2016000 > /sys/devices/system/cpu/cpu0/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu0/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:35,425 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu1/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu1/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:35,481 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2016000 > /sys/devices/system/cpu/cpu1/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu1/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:35,551 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu2/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu2/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:35,622 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2016000 > /sys/devices/system/cpu/cpu2/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu2/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:35,690 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu3/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu3/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:35,749 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2016000 > /sys/devices/system/cpu/cpu3/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu3/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:35,809 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu4/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:35,865 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2400000 > /sys/devices/system/cpu/cpu4/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:35,924 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu5/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu5/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:35,985 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2400000 > /sys/devices/system/cpu/cpu5/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu5/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:36,051 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu6/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu6/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:36,111 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2400000 > /sys/devices/system/cpu/cpu6/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu6/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:36,170 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/devices/system/cpu/cpu7/cp... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu7/cpufreq/scaling_governor: Permission denied
2025-08-25 15:02:36,226 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 2400000 > /sys/devices/system/cpu/cpu7/cpufre... Error: /system/bin/sh: can't create /sys/devices/system/cpu/cpu7/cpufreq/scaling_max_freq: Permission denied
2025-08-25 15:02:36,401 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: setprop ro.vendor.perf.scroll_opt true... Error: Failed to set property 'ro.vendor.perf.scroll_opt' to 'true'.
See dmesg for error reason.
2025-08-25 15:02:36,518 | ROOT-GOD | INFO | optimize_gpu_performance:560 | 🎮 Optimizing GPU for gaming mode
2025-08-25 15:02:36,584 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo performance > /sys/class/kgsl/kgsl-3d0/devfre... Error: /system/bin/sh: can't create /sys/class/kgsl/kgsl-3d0/devfreq/governor: No such file or directory
2025-08-25 15:02:36,628 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 800000000 > /sys/class/kgsl/kgsl-3d0/devfreq/... Error: /system/bin/sh: can't create /sys/class/kgsl/kgsl-3d0/devfreq/max_freq: No such file or directory
2025-08-25 15:02:36,629 | ROOT-GOD | INFO | manage_thermal_performance:599 | 🌡️ Managing thermal performance: performance
2025-08-25 15:02:36,676 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 85000 > /sys/class/thermal/thermal_zone0/trip... Error: /system/bin/sh: can't create /sys/class/thermal/thermal_zone0/trip_point_0_temp: Permission denied
2025-08-25 15:02:36,727 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 80000 > /sys/class/thermal/thermal_zone1/trip... Error: /system/bin/sh: can't create /sys/class/thermal/thermal_zone1/trip_point_0_temp: Permission denied
2025-08-25 15:02:36,770 | ROOT-GOD | ERROR | _run_root_command:327 | ❌ Root command failed: echo 42000 > /sys/class/thermal/thermal_zone2/trip... Error: /system/bin/sh: can't create /sys/class/thermal/thermal_zone2/trip_point_0_temp: Permission denied
